id,comentario
254,La entrega fue MUY TARDE
73,El servicio fue INCREIBLE
191,El paquete fue entregado en recepción
20,La atención fue EXCELENTE
263,El producto llegó incompleto
107,El producto llegó ayer
39,La experiencia fue MAGNIFICA
33,El resultado fue FANTASTICO
179,La tienda tiene varios productos
190,El paquete fue entregado en recepción
145,El producto tiene color negro
149,La compra se realizó el lunes
212,El producto llegó roto
121,La entrega fue por la mañana
232,La atención fue PESIMA
297,El producto presentó problemas
178,La tienda tiene varios productos
284,El servicio fue LENTO
289,El pedido llegó dañado
6,El producto es BUENO y funciona correctamente
276,El servicio fue LENTO
124,La entrega fue por la mañana
228,La atención fue PESIMA
283,El servicio fue LENTO
255,La entrega fue MUY TARDE
2,El producto es BUENO y funciona correctamente
49,El producto es MUY BUENO
246,La entrega fue MUY TARDE
154,La compra se realizó el lunes
38,La experiencia fue MAGNIFICA
122,La entrega fue por la mañana
285,El servicio fue LENTO
203,El producto tiene garantía de un año
221,El servicio fue MALO
56,El servicio es EXCELENTE y recomendable
18,La atención fue EXCELENTE
12,El servicio fue BUENISIMO y rápido
240,El producto no funciona
275,La calidad es DEFICIENTE
233,La atención fue PESIMA
35,El resultado fue FANTASTICO
74,El servicio fue INCREIBLE
220,El servicio fue MALO
106,El producto llegó ayer
270,La calidad es DEFICIENTE
114,El producto llegó ayer
260,El producto llegó incompleto
104,El producto tiene una calidad EXCELENTE
238,El producto no funciona
185,La tienda tiene varios productos
101,El producto tiene una calidad EXCELENTE
303,El producto presentó problemas
90,El resultado es BUENO
281,El servicio fue LENTO
47,El producto es MUY BUENO
132,El paquete llegó cerrado
27,El producto está GENIAL
250,La entrega fue MUY TARDE
266,La calidad es DEFICIENTE
108,El producto llegó ayer
167,El producto viene en una caja
87,El resultado es BUENO
7,El producto es BUENO y funciona correctamente
25,El producto está GENIAL
273,La calidad es DEFICIENTE
155,La compra se realizó el lunes
133,El paquete llegó cerrado
116,La entrega fue por la mañana
271,La calidad es DEFICIENTE
237,El producto no funciona
125,La entrega fue por la mañana
181,La tienda tiene varios productos
31,El resultado fue FANTASTICO
66,La calidad es PERFECTA
286,El pedido llegó dañado
43,El producto es MUY BUENO
135,El paquete llegó cerrado
239,El producto no funciona
100,El producto tiene una calidad EXCELENTE
8,El servicio fue BUENISIMO y rápido
201,El producto tiene garantía de un año
10,El servicio fue BUENISIMO y rápido
160,El pedido llegó a las diez
202,El producto tiene garantía de un año
158,El pedido llegó a las diez
174,El producto viene en una caja
301,El producto presentó problemas
231,La atención fue PESIMA
162,El pedido llegó a las diez
229,La atención fue PESIMA
123,La entrega fue por la mañana
134,El paquete llegó cerrado
32,El resultado fue FANTASTICO
294,El pedido llegó dañado
305,El producto presentó problemas
67,La calidad es PERFECTA
182,La tienda tiene varios productos
272,La calidad es DEFICIENTE
216,El servicio fue MALO
86,El resultado es BUENO
52,El servicio es EXCELENTE y recomendable
251,La entrega fue MUY TARDE
92,La atención fue GENIAL
248,La entrega fue MUY TARDE
89,El resultado es BUENO
140,El producto tiene color negro
97,La atención fue GENIAL
249,La entrega fue MUY TARDE
147,La compra se realizó el lunes
200,El producto tiene garantía de un año
78,El producto es RECOMENDADO
261,El producto llegó incompleto
34,El resultado fue FANTASTICO
22,El producto está GENIAL
71,El servicio fue INCREIBLE
61,El producto funciona BUENISIMO
85,El resultado es BUENO
224,El servicio fue MALO
170,El producto viene en una caja
169,El producto viene en una caja
159,El pedido llegó a las diez
243,El producto no funciona
210,El producto llegó roto
105,El producto tiene una calidad EXCELENTE
226,La atención fue PESIMA
242,El producto no funciona
11,El servicio fue BUENISIMO y rápido
252,La entrega fue MUY TARDE
235,La atención fue PESIMA
213,El producto llegó roto
62,El producto funciona BUENISIMO
79,El producto es RECOMENDADO
183,La tienda tiene varios productos
157,El pedido llegó a las diez
5,El producto es BUENO y funciona correctamente
302,El producto presentó problemas
83,El producto es RECOMENDADO
152,La compra se realizó el lunes
196,El producto tiene garantía de un año
139,El producto tiene color negro
225,El servicio fue MALO
96,La atención fue GENIAL
234,La atención fue PESIMA
51,El servicio es EXCELENTE y recomendable
148,La compra se realizó el lunes
77,El servicio fue INCREIBLE
28,El producto está GENIAL
130,El paquete llegó cerrado
46,El producto es MUY BUENO
129,El paquete llegó cerrado
188,El paquete fue entregado en recepción
1,El producto es BUENO y funciona correctamente
245,El producto no funciona
274,La calidad es DEFICIENTE
292,El pedido llegó dañado
76,El servicio fue INCREIBLE
279,El servicio fue LENTO
88,El resultado es BUENO
206,El producto llegó roto
189,El paquete fue entregado en recepción
